trackRefNum	xDistanceInPx	yDistanceInPx	totDistanceInPx	xDistanceInNm	yDistanceInNm	totDistanceInNm
260671488.00	-1.01	-47.45	47.46	-75.10	-2931.66	2932.62
260671568.00	-1.27	-47.62	47.64	-93.71	-2942.53	2944.02
260671664.00	-1.03	-47.25	47.26	-76.48	-2919.77	2920.77
260671776.00	-1.12	-47.25	47.27	-83.29	-2919.86	2921.04
260671776.00	-0.92	-47.40	47.41	-68.48	-2929.09	2929.89
260671872.00	-0.94	-47.29	47.30	-69.92	-2922.30	2923.14
260671968.00	-0.85	-47.51	47.52	-62.69	-2935.49	2936.16
260672064.00	-1.05	-47.13	47.15	-77.53	-2912.43	2913.46
260672176.00	-1.18	-47.60	47.62	-87.24	-2941.50	2942.79
260672176.00	-1.00	-47.30	47.31	-73.95	-2922.75	2923.69
260672272.00	-1.20	-47.56	47.58	-88.81	-2938.82	2940.17
260672368.00	-1.17	-47.27	47.29	-86.97	-2920.88	2922.18
260672480.00	-0.88	-47.54	47.55	-65.27	-2937.69	2938.42
