trackRefNum	xPositionInMm	yPositionInMm	yPositionInMm
8634268.00000	5.23490	-0.03975	0.23721
8635569.00000	5.23490	-0.03975	0.23721
8636867.00000	5.23490	-0.03975	0.23721
8638268.00000	5.23490	-0.03975	0.23721
8639568.00000	5.23490	-0.03975	0.23721
8640868.00000	5.23490	-0.03975	0.23721
8642168.00000	5.23490	-0.03975	0.23721
8643469.00000	5.23490	-0.03975	0.23721
8644768.00000	5.23490	-0.03975	0.23721
8646069.00000	5.23490	-0.03975	0.23721
8647367.00000	5.23490	-0.03975	0.23721
8648672.00000	5.23490	-0.03975	0.23721
8649968.00000	5.23490	-0.03975	0.23721
8651268.00000	5.23490	-0.03975	0.23721
8652667.00000	5.23490	-0.03975	0.23721
8653975.00000	5.23490	-0.03975	0.23721
8655270.00000	5.23490	-0.03975	0.23721
8656569.00000	5.23490	-0.03975	0.23721
8657870.00000	5.23490	-0.03975	0.23721
8659168.00000	5.23490	-0.03975	0.23721
8660467.00000	5.23490	-0.03975	0.23721
8661769.00000	5.23490	-0.03975	0.23721
8663070.00000	5.23490	-0.03975	0.23721
8664368.00000	5.23490	-0.03975	0.23721
8665669.00000	5.23490	-0.03975	0.23721
8666970.00000	5.23490	-0.03975	0.23721
8668367.00000	5.23490	-0.03975	0.23721
8669686.00000	5.23490	-0.03975	0.23721
8670973.00000	5.23490	-0.03975	0.23721
8672269.00000	5.23490	-0.03975	0.23721
8673569.00000	5.23490	-0.03975	0.23721
8674868.00000	5.23490	-0.03975	0.23721
8676168.00000	5.23490	-0.03975	0.23721
8677468.00000	5.23490	-0.03975	0.23721
8678769.00000	5.23490	-0.03975	0.23721
8680068.00000	5.23490	-0.03975	0.23721
8681367.00000	5.23490	-0.03975	0.23721
8682669.00000	5.23490	-0.03975	0.23721
8683969.00000	5.23490	-0.03975	0.23721
8685270.00000	5.23490	-0.03975	0.23721
8686668.00000	5.23490	-0.03975	0.23721
8687968.00000	5.23490	-0.03975	0.23721
8689174.00000	5.23490	-0.03975	0.23721
8690569.00000	5.23490	-0.03975	0.23721
8691869.00000	5.23490	-0.03975	0.23721
8693174.00000	5.23490	-0.03975	0.23721
8694468.00000	5.23490	-0.03975	0.23721
